Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
22590,Ubik,Philip K. Dick,"Dick, Philip K.","David Alabort, Manuel Espín","=""8498000831""","=""9788498000832""",0,4.10,La factoría de ideas,Paperback,288,2006,1969,,2019/02/24,to-read,to-read (#68),to-read,,,,0,0
9717,The Unbearable Lightness of Being,Milan Kundera,"Kundera, Milan","Michael Henry Heim, Richmond Hoxie","=""0571224385""","=""9780571224388""",0,4.11,Harper Perennial,Paperback,320,2009,1984,,2019/02/24,to-read,to-read (#67),to-read,,,,0,0
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,"=""""","=""""",0,4.33,Riverhead Books,Paperback,371,2004,2003,,2019/02/24,to-read,to-read (#66),to-read,,,,0,0
128029,A Thousand Splendid Suns,Khaled Hosseini,"Hosseini, Khaled",,"=""1594489505""","=""9781594489501""",0,4.42,Riverhead Books,Hardcover,372,2007,2007,,2019/02/24,to-read,to-read (#65),to-read,,,,0,0
7244,The Poisonwood Bible,Barbara Kingsolver,"Kingsolver, Barbara",,"=""0060786507""","=""9780060786502""",0,4.08,Harper Perennial Modern Classics,Hardcover,546,2005,1998,,2019/02/24,to-read,to-read (#64),to-read,,,,0,0
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",0,3.99,HarperPerennial / Perennial Classics,Paperback,268,1998,1932,,2019/02/24,to-read,to-read (#63),to-read,,,,0,0
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",0,3.69,Penguin Books ,Paperback,182,1999,1954,,2019/02/24,to-read,to-read (#62),to-read,,,,0,0
4406,East of Eden,John Steinbeck,"Steinbeck, John",,"=""0142000655""","=""9780142000656""",0,4.40,Penguin Books,Paperback,601,2002,1952,,2019/02/24,to-read,to-read (#61),to-read,,,,0,0
17349,The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,"Sagan, Carl",Ann Druyan,"=""0345409469""","=""9780345409461""",0,4.28,Ballantine Books,Paperback,459,1997,1996,,2019/02/24,to-read,to-read (#60),to-read,,,,0,0
185099,A People's History of the World,Chris Harman,"Harman, Chris",,"=""189887655X""","=""9781898876557""",0,4.04,Bookmarks,Paperback,500,1999,1999,,2019/02/24,to-read,to-read (#59),to-read,,,,0,0
18160,The Art of Deception: Controlling the Human Element of Security,Kevin D. Mitnick,"Mitnick, Kevin D.","William   L.    Simon, Steve Wozniak","=""076454280X""","=""9780764542800""",0,3.76,Wiley,Paperback,352,2003,2001,,2019/02/24,to-read,to-read (#58),to-read,,,,0,0
74034,Amusing Ourselves to Death: Public Discourse in the Age of Show Business,Neil Postman,"Postman, Neil",Andrew Postman,"=""014303653X""","=""9780143036531""",3,4.15,Penguin Books,Paperback,184,2005,1985,2019/02/21,2019/02/21,,,read,,,,1,0
17910054,The Sixth Extinction: An Unnatural History,Elizabeth Kolbert,"Kolbert, Elizabeth",,"=""0805092994""","=""9780805092998""",2,4.15,Henry Holt and Co. (Georg von Holtzbrinck),Hardcover,336,2014,2014,2019/02/18,2019/02/14,,,read,,,,1,0
